,<Letter>,<Digit>,<TokenDelim>,<(>,<)>,<{>,<}>,<*>,<+>,<->,<>>,<;>,<:>,<Comma>,<=>,<!>,<<>,<#>,</>,<TokenDelimEnter>,<_>,<.>
Sinvc1,Sinvc1,Sinvc1,Sinvc1,Sinvc1,Sinvc1,Sinvc1,Sinvc1,Sinvc2,Sinvc1,Sinvc1,Sinvc1,Sinvc1,Sinvc1,Sinvc1,Sinvc1,Sinvc1,Sinvc1,Sinvc1,Sinvc1,Sinvc1,Sinvc1,Sinvc1
Sinvc2,Sinvc1,Sinvc1,Sinvc1,Sinvc1,Sinvc1,Sinvc1,Sinvc1,Sinvc2,Sinvc1,Sinvc1,Sinvc1,Sinvc1,Sinvc1,Sinvc1,Sinvc1,Sinvc1,Sinvc1,Sinvc1,Scom3,Sinvc1,Sinvc1,Sinvc1
Scom3,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr
Sinv8,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Sinv9,Serr
Sinv9,Sinv10,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr
Sinv10,Sinv11,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr
Sinv11,Sinv12,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr
Sinv12,Ssp1,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr
Ssp1,Ssp2,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr
Ssp2,Ssp3,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr
Ssp3,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr
Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr
